decision_time,job_id,allowed_machine_indices,avail_actions,action_idx,obs_current_op_type,obs_total_operations,obs_remaining_operations,obs_wait_time,obs_theoretical_machine_count,obs_free_machine_count,obs_n_jobs_active,finished_flag,job_status
97.0,2,[3],"[0, 0, 0, 1, 0]",0,7.0,3.0,3.0,0.0,1.0,1.0,10.0,0,WIP
97.0,2,[3],"[0, 0, 0, 1, 0]",0,7.0,3.0,3.0,0.0,1.0,1.0,10.0,0,WIP
97.0,0,"[1, 3, 4]","[0, 1, 0, 1, 1]",0,8.0,3.0,2.0,1.0,3.0,3.0,10.0,0,WIP
97.0,0,"[1, 3, 4]","[0, 1, 0, 1, 1]",0,8.0,3.0,2.0,1.0,3.0,3.0,10.0,0,WIP
97.0,42,"[2, 4]","[0, 0, 1, 0, 1]",-1,6.0,5.0,4.0,5.140263080596924,2.0,2.0,10.0,0,WIP
97.0,34,[3],"[0, 0, 0, 1, 0]",3,7.0,5.0,5.0,0.0,1.0,1.0,10.0,0,WIP
97.0,37,[3],"[0, 0, 0, 1, 0]",3,7.0,5.0,3.0,8.408562660217285,1.0,1.0,10.0,0,WIP
97.0,31,"[0, 2]","[1, 0, 1, 0, 0]",0,2.0,5.0,3.0,26.496294021606445,2.0,2.0,10.0,0,WIP
97.0,41,"[1, 3, 4]","[0, 1, 0, 1, 1]",1,8.0,5.0,3.0,12.389564514160156,3.0,3.0,10.0,0,WIP
80.0,3,"[0, 2]","[1, 0, 1, 0, 0]",3,2.0,4.0,2.0,75.2750015258789,2.0,2.0,10.0,0,WIP
98.0,44,"[1, 2, 4]","[0, 1, 1, 0, 1]",1,4.0,4.0,4.0,0.0,3.0,3.0,10.0,0,WIP
98.0,43,"[1, 3, 4]","[0, 1, 0, 1, 1]",4,8.0,4.0,3.0,8.022022247314453,3.0,3.0,10.0,0,WIP
98.0,31,"[0, 2]","[1, 0, 1, 0, 0]",2,2.0,5.0,3.0,26.496294021606445,2.0,2.0,10.0,0,WIP
97.0,2,[3],"[0, 0, 0, 1, 0]",0,7.0,3.0,3.0,0.0,1.0,1.0,10.0,0,WIP
97.0,0,"[1, 3, 4]","[0, 1, 0, 1, 1]",0,8.0,3.0,2.0,1.0,3.0,3.0,10.0,0,WIP
99.0,42,"[2, 4]","[0, 0, 1, 0, 1]",4,6.0,5.0,4.0,5.140263080596924,2.0,2.0,10.0,0,WIP
99.0,43,"[1, 3, 4]","[0, 1, 0, 1, 1]",-1,8.0,4.0,3.0,8.022022247314453,3.0,3.0,10.0,0,WIP
99.0,31,"[0, 2]","[1, 0, 1, 0, 0]",-1,2.0,5.0,3.0,26.496294021606445,2.0,2.0,10.0,0,WIP
99.0,34,[3],"[0, 0, 0, 1, 0]",3,7.0,5.0,4.0,28.337997436523438,1.0,1.0,10.0,0,WIP
1.0,0,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,0,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,1,"[0, 1]","[1, 1, 0, 0, 0]",4,5.0,4.0,4.0,0.0,2.0,2.0,5.0,0,WIP
1.0,1,"[0, 1]","[1, 1, 0, 0, 0]",4,5.0,4.0,4.0,0.0,2.0,2.0,5.0,0,WIP
1.0,2,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,2,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,3,"[2, 4]","[0, 0, 1, 0, 1]",4,6.0,4.0,4.0,0.0,2.0,2.0,5.0,0,WIP
1.0,4,"[1, 3, 4]","[0, 1, 0, 1, 1]",4,8.0,1.0,1.0,0.0,3.0,3.0,5.0,0,WIP
1.0,0,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,1,"[0, 1]","[1, 1, 0, 0, 0]",4,5.0,4.0,4.0,0.0,2.0,2.0,5.0,0,WIP
1.0,2,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
3.0,5,"[1, 2, 4]","[0, 1, 1, 0, 1]",1,4.0,3.0,3.0,0.0,3.0,3.0,6.0,0,WIP
4.0,6,"[1, 2, 4]","[0, 1, 1, 0, 1]",-1,4.0,5.0,5.0,0.0,3.0,3.0,7.0,0,WIP
4.0,3,[3],"[0, 0, 0, 1, 0]",0,7.0,4.0,3.0,1.0,1.0,1.0,7.0,0,WIP
4.0,3,[3],"[0, 0, 0, 1, 0]",0,7.0,4.0,3.0,1.0,1.0,1.0,7.0,0,WIP
1.0,0,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,1,"[0, 1]","[1, 1, 0, 0, 0]",4,5.0,4.0,4.0,0.0,2.0,2.0,5.0,0,WIP
1.0,2,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
5.0,5,"[0, 2, 3, 4]","[1, 0, 1, 1, 1]",0,1.0,3.0,2.0,0.304231733083725,4.0,4.0,7.0,0,WIP
6.0,6,"[1, 2, 4]","[0, 1, 1, 0, 1]",1,4.0,5.0,5.0,0.0,3.0,3.0,6.0,0,WIP
4.0,3,[3],"[0, 0, 0, 1, 0]",0,7.0,4.0,3.0,1.0,1.0,1.0,7.0,0,WIP
1.0,0,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,1,"[0, 1]","[1, 1, 0, 0, 0]",4,5.0,4.0,4.0,0.0,2.0,2.0,5.0,0,WIP
1.0,2,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
7.0,5,"[0, 3, 4]","[1, 0, 0, 1, 1]",4,3.0,3.0,1.0,0.7292317748069763,3.0,3.0,7.0,0,WIP
7.0,7,"[1, 3, 4]","[0, 1, 0, 1, 1]",4,8.0,5.0,5.0,0.0,3.0,3.0,7.0,0,WIP
4.0,3,[3],"[0, 0, 0, 1, 0]",0,7.0,4.0,3.0,1.0,1.0,1.0,7.0,0,WIP
8.0,8,"[0, 2]","[1, 0, 1, 0, 0]",2,2.0,1.0,1.0,0.0,2.0,2.0,8.0,0,WIP
8.0,6,"[0, 1]","[1, 1, 0, 0, 0]",1,5.0,5.0,4.0,2.9415011405944824,2.0,2.0,8.0,0,WIP
1.0,0,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,1,"[0, 1]","[1, 1, 0, 0, 0]",4,5.0,4.0,4.0,0.0,2.0,2.0,5.0,0,WIP
1.0,2,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
4.0,3,[3],"[0, 0, 0, 1, 0]",0,7.0,4.0,3.0,1.0,1.0,1.0,7.0,0,WIP
10.0,6,"[0, 3, 4]","[1, 0, 0, 1, 1]",0,3.0,5.0,3.0,3.3665013313293457,3.0,3.0,7.0,0,WIP
10.0,9,"[0, 2, 3, 4]","[1, 0, 1, 1, 1]",0,1.0,2.0,2.0,0.0,4.0,4.0,7.0,0,WIP
1.0,0,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,1,"[0, 1]","[1, 1, 0, 0, 0]",4,5.0,4.0,4.0,0.0,2.0,2.0,5.0,0,WIP
1.0,2,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
11.0,7,"[0, 2]","[1, 0, 1, 0, 0]",2,2.0,5.0,4.0,2.1530041694641113,2.0,2.0,7.0,0,WIP
11.0,9,"[0, 2, 3, 4]","[1, 0, 1, 1, 1]",2,1.0,2.0,2.0,0.0,4.0,4.0,7.0,0,WIP
4.0,3,[3],"[0, 0, 0, 1, 0]",0,7.0,4.0,3.0,1.0,1.0,1.0,7.0,0,WIP
12.0,6,"[0, 2, 3, 4]","[1, 0, 1, 1, 1]",0,1.0,5.0,2.0,3.6165013313293457,4.0,4.0,7.0,0,WIP
1.0,0,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
1.0,1,"[0, 1]","[1, 1, 0, 0, 0]",4,5.0,4.0,4.0,0.0,2.0,2.0,5.0,0,WIP
1.0,2,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
13.0,7,"[0, 2, 3, 4]","[1, 0, 1, 1, 1]",2,1.0,5.0,3.0,2.6530041694641113,4.0,4.0,7.0,0,WIP
14.0,3,[3],"[0, 0, 0, 1, 0]",-1,7.0,4.0,3.0,1.0,1.0,1.0,7.0,0,WIP
14.0,6,"[1, 3, 4]","[0, 1, 0, 1, 1]",4,8.0,5.0,1.0,4.041501045227051,3.0,3.0,7.0,0,WIP
1.0,0,"[0, 2]","[1, 0, 1, 0, 0]",4,2.0,3.0,3.0,0.0,2.0,2.0,5.0,0,WIP
